Gr Liv Area,Garage Area,SalePrice,1Fam,2fmCon,Duplex,Twnhs,TwnhsE
900,280.0,122000,True,False,False,False,False
1040,308.0,133000,True,False,False,False,False
1040,260.0,127000,True,False,False,False,False
1494,461.0,169000,True,False,False,False,False
1923,564.0,190000,True,False,False,False,False
2349,762.0,362500,True,False,False,False,False
2225,713.0,285000,True,False,False,False,False
1488,506.0,260000,False,False,False,False,True
1680,588.0,190000,False,False,False,False,True
1200,480.0,155000,False,False,False,False,True
1200,480.0,151000,False,False,False,False,True
1200,480.0,149500,False,False,False,True,False
1236,480.0,152000,False,False,False,True,False
1478,484.0,222000,True,False,False,False,False
1573,440.0,177500,False,False,False,True,False
1512,440.0,177000,False,False,False,False,True
1416,484.0,155000,False,False,False,True,False
1080,496.0,147110,False,False,False,False,True
1418,852.0,267916,True,False,False,False,False
1848,592.0,254000,True,False,False,False,False
788,484.0,155000,False,False,False,False,True
1226,484.0,206000,False,False,False,True,False
1479,475.0,130500,True,False,False,False,False
1492,596.0,230000,True,False,False,False,False
1829,535.0,218500,True,False,False,False,False
2495,660.0,243500,True,False,False,False,False
1610,480.0,205000,True,False,False,False,False
1891,678.0,212500,True,False,False,False,False
1714,496.0,196500,True,False,False,False,False
1381,676.0,197500,True,False,False,False,False
1645,441.0,171000,True,False,False,False,False
1232,490.0,142250,True,False,False,False,False
1328,528.0,143000,True,False,False,False,False
1225,0.0,128950,True,False,False,False,False
1209,504.0,159000,True,False,False,False,False
1510,517.0,178900,True,False,False,False,False
1775,480.0,136300,True,False,False,False,False
1152,484.0,180500,True,False,False,False,False
1054,480.0,137500,True,False,False,False,False
1728,0.0,84900,False,False,True,False,False
1078,240.0,142125,True,False,False,False,False
2461,400.0,197600,True,False,False,False,False
1556,470.0,172500,True,False,False,False,False
858,0.0,116500,True,False,False,False,False
1306,0.0,76500,True,False,False,False,False
1063,280.0,128000,True,False,False,False,False
1520,364.0,153000,True,False,False,False,False
1268,244.0,132000,True,False,False,False,False
1128,315.0,178000,True,False,False,False,False
2274,480.0,154300,False,False,True,False,False
2207,576.0,180000,True,False,False,False,False
1888,578.0,190000,True,False,False,False,False
1604,576.0,135000,False,False,True,False,False
1480,620.0,214000,True,False,False,False,False
1143,308.0,136000,True,False,False,False,False
1700,447.0,165500,True,False,False,False,False
1314,294.0,145000,True,False,False,False,False
1194,312.0,148000,True,False,False,False,False
1188,531.0,142000,True,False,False,False,False
1264,461.0,167500,True,False,False,False,False
1206,312.0,108538,True,False,False,False,False
1580,440.0,159500,True,False,False,False,False
1337,263.0,108000,True,False,False,False,False
1064,318.0,135000,True,False,False,False,False
972,305.0,122500,True,False,False,False,False
988,264.0,119000,False,True,False,False,False
1057,246.0,109000,True,False,False,False,False
985,676.0,105000,True,False,False,False,False
827,392.0,107500,True,False,False,False,False
1086,490.0,144900,True,False,False,False,False
936,308.0,129000,True,False,False,False,False
1458,330.0,97500,True,False,False,False,False
1056,576.0,144000,False,False,True,False,False
1287,576.0,162000,True,False,False,False,False
2978,564.0,242000,True,False,False,False,False
1224,280.0,132000,True,False,False,False,False
1246,305.0,154000,True,False,False,False,False
1385,720.0,166000,True,False,False,False,False
900,576.0,134800,True,False,False,False,False
1116,440.0,160000,True,False,False,False,False
1175,484.0,148000,True,False,False,False,False
1395,440.0,192000,True,False,False,False,False
1839,442.0,155000,True,False,False,False,False
1844,240.0,80400,True,False,False,False,False
1140,0.0,96500,True,False,False,False,False
936,0.0,109500,True,False,False,False,False
1028,360.0,115000,True,False,False,False,False
1347,551.0,143000,True,False,False,False,False
1605,379.0,107400,True,False,False,False,False
747,220.0,80000,True,False,False,False,False
804,240.0,119000,True,False,False,False,False
1316,484.0,130000,True,False,False,False,False
1251,240.0,119000,True,False,False,False,False
1633,240.0,129000,True,False,False,False,False
1245,315.0,100000,True,False,False,False,False
832,780.0,12789,True,False,False,False,False
720,484.0,105900,True,False,False,False,False
1566,288.0,150000,True,False,False,False,False
1652,416.0,139000,True,False,False,False,False
2268,624.0,240000,True,False,False,False,False
2256,0.0,76500,False,True,False,False,False
1236,923.0,149700,True,False,False,False,False
1363,528.0,125500,True,False,False,False,False
2290,560.0,122500,False,True,False,False,False
1470,624.0,140750,True,False,False,False,False
1612,363.0,128500,True,False,False,False,False
2068,315.0,209500,True,False,False,False,False
765,200.0,87000,True,False,False,False,False
1132,240.0,134000,True,False,False,False,False
1196,576.0,128000,True,False,False,False,False
1453,240.0,132000,True,False,False,False,False
1416,312.0,139900,True,False,False,False,False
1040,624.0,123900,True,False,False,False,False
1536,480.0,138400,True,False,False,False,False
1068,288.0,109500,True,False,False,False,False
1710,480.0,140000,True,False,False,False,False
1962,572.0,149500,True,False,False,False,False
1560,0.0,159900,True,False,False,False,False
1324,180.0,122000,True,False,False,False,False
816,516.0,110000,False,False,True,False,False
1092,0.0,55000,False,True,False,False,False
1812,672.0,140000,False,True,False,False,False
2403,349.0,244400,True,False,False,False,False
1675,365.0,173000,True,False,False,False,False
1224,180.0,107500,True,False,False,False,False
1392,0.0,100000,False,True,False,False,False
919,231.0,95000,True,False,False,False,False
1884,0.0,93369,True,False,False,False,False
1680,450.0,114900,False,True,False,False,False
1020,0.0,94000,True,False,False,False,False
1832,0.0,136000,False,False,True,False,False
1768,0.0,136500,False,False,True,False,False
1039,504.0,131500,False,True,False,False,False
1392,528.0,121500,True,False,False,False,False
912,336.0,125000,True,False,False,False,False
1060,270.0,154000,True,False,False,False,False
892,416.0,137900,True,False,False,False,False
1352,299.0,158000,True,False,False,False,False
864,280.0,137250,True,False,False,False,False
1373,591.0,160250,False,False,True,False,False
1440,480.0,163000,True,False,False,False,False
1386,440.0,158900,True,False,False,False,False
2260,533.0,328000,True,False,False,False,False
1483,690.0,270000,True,False,False,False,False
756,440.0,85000,True,False,False,False,False
1067,436.0,128000,True,False,False,False,False
1524,586.0,260000,True,False,False,False,False
1981,522.0,230000,True,False,False,False,False
1610,480.0,124000,True,False,False,False,False
835,366.0,83000,True,False,False,False,False
1074,467.0,144500,True,False,False,False,False
1144,596.0,129000,True,False,False,False,False
1531,209.0,127000,True,False,False,False,False
1172,366.0,128000,True,False,False,False,False
1212,460.0,186000,True,False,False,False,False
1508,572.0,308030,True,False,False,False,False
1298,504.0,114000,True,False,False,False,False
930,308.0,84900,True,False,False,False,False
1732,476.0,178000,True,False,False,False,False
1433,528.0,270000,True,False,False,False,False
1802,1017.0,218000,True,False,False,False,False
1949,574.0,236000,True,False,False,False,False
996,564.0,147000,True,False,False,False,False
1694,776.0,245350,True,False,False,False,False
1208,632.0,206000,True,False,False,False,False
1226,740.0,198900,True,False,False,False,False
1222,615.0,187000,True,False,False,False,False
3222,594.0,320000,True,False,False,False,False
1445,484.0,138500,True,False,False,False,False
1052,440.0,155000,True,False,False,False,False
965,580.0,159000,True,False,False,False,False
1692,513.0,191000,True,False,False,False,False
1682,523.0,200500,True,False,False,False,False
1026,308.0,150000,True,False,False,False,False
1392,299.0,161750,True,False,False,False,False
894,308.0,128200,True,False,False,False,False
876,484.0,127000,True,False,False,False,False
1978,850.0,318000,True,False,False,False,False
1601,670.0,272000,True,False,False,False,False
1829,613.0,237000,True,False,False,False,False
2098,621.0,240000,True,False,False,False,False
1661,598.0,224900,True,False,False,False,False
848,420.0,143750,False,False,False,False,True
848,420.0,143000,False,False,False,False,True
1668,502.0,232000,True,False,False,False,False
1484,606.0,213000,True,False,False,False,False
1414,494.0,185500,True,False,False,False,False
640,240.0,84900,True,False,False,False,False
992,319.0,155891,True,False,False,False,False
1664,0.0,100000,False,False,True,False,False
1196,336.0,144000,True,False,False,False,False
1120,480.0,64000,True,False,False,False,False
1096,352.0,125200,True,False,False,False,False
1117,672.0,107000,True,False,False,False,False
960,0.0,90000,True,False,False,False,False
1121,440.0,140000,True,False,False,False,False
1487,220.0,113000,True,False,False,False,False
924,280.0,80000,False,True,False,False,False
1526,364.0,144500,True,False,False,False,False
1296,260.0,104000,True,False,False,False,False
1647,216.0,128000,True,False,False,False,False
864,200.0,58500,True,False,False,False,False
1691,308.0,127000,True,False,False,False,False
856,399.0,126000,True,False,False,False,False
2650,0.0,160000,False,False,True,False,False
1666,0.0,100000,True,False,False,False,False
2447,336.0,169000,True,False,False,False,False
2133,312.0,257500,True,False,False,False,False
2177,484.0,215000,False,False,True,False,False
2340,252.0,266500,True,False,False,False,False
1902,567.0,335000,True,False,False,False,False
1652,473.0,203135,True,False,False,False,False
1034,598.0,185000,False,False,False,False,True
1191,531.0,162500,False,False,False,False,True
1801,484.0,289000,True,False,False,False,False
1154,240.0,125500,True,False,False,False,False
540,200.0,82000,True,False,False,False,False
1107,625.0,110000,True,False,False,False,False
1128,528.0,68400,True,False,False,False,False
1178,384.0,102776,True,False,False,False,False
1044,504.0,55993,True,False,False,False,False
952,330.0,50138,True,False,False,False,False
1646,525.0,246000,False,False,False,False,True
1916,741.0,254900,True,False,False,False,False
1285,473.0,190000,True,False,False,False,False
1560,573.0,201000,True,False,False,False,False
1034,888.0,169900,True,False,False,False,False
2048,776.0,170000,False,False,True,False,False
1687,572.0,160000,True,False,False,False,False
1346,660.0,220000,True,False,False,False,False
1214,520.0,179781,True,False,False,False,False
1444,400.0,174000,True,False,False,False,False
1968,680.0,269500,True,False,False,False,False
1894,510.0,214900,True,False,False,False,False
1908,431.0,202900,True,False,False,False,False
2018,746.0,378500,True,False,False,False,False
1264,528.0,169000,True,False,False,False,False
1430,624.0,173500,True,False,False,False,False
1824,0.0,139000,False,False,True,False,False
1344,686.0,166500,True,False,False,False,False
1092,286.0,83500,False,False,False,False,True
945,253.0,119500,False,False,False,True,False
1112,336.0,85000,False,False,False,False,True
1092,0.0,76000,False,False,False,True,False
630,0.0,75500,False,False,False,False,True
1092,0.0,88250,False,False,False,False,True
1092,286.0,85500,False,False,False,False,True
874,352.0,130000,True,False,False,False,False
1188,312.0,157900,True,False,False,False,False
833,495.0,149900,True,False,False,False,False
2432,616.0,159000,False,False,True,False,False
1274,576.0,136000,True,False,False,False,False
1479,275.0,161000,True,False,False,False,False
1803,482.0,285000,True,False,False,False,False
1797,616.0,231000,True,False,False,False,False
882,502.0,124500,True,False,False,False,False
1434,528.0,157000,True,False,False,False,False
2704,538.0,345000,True,False,False,False,False
1608,470.0,189500,True,False,False,False,False
2283,632.0,270000,True,False,False,False,False
1628,390.0,189000,True,False,False,False,False
1746,758.0,377500,True,False,False,False,False
1474,400.0,168500,True,False,False,False,False
2522,564.0,375000,False,False,False,False,True
1659,499.0,278000,False,False,False,False,True
1478,495.0,240000,True,False,False,False,False
1734,528.0,239500,False,False,False,False,True
1382,396.0,177500,True,False,False,False,False
1718,427.0,185000,True,False,False,False,False
1636,440.0,191000,True,False,False,False,False
1571,380.0,178000,True,False,False,False,False
1470,420.0,185000,True,False,False,False,False
1516,409.0,181316,True,False,False,False,False
1190,430.0,166000,True,False,False,False,False
1593,389.0,178000,True,False,False,False,False
1481,343.0,174000,True,False,False,False,False
1167,400.0,173000,True,False,False,False,False
1983,490.0,225000,True,False,False,False,False
1442,500.0,180500,True,False,False,False,False
1360,565.0,187500,False,False,False,False,True
2234,1166.0,501837,True,False,False,False,False
2046,834.0,372500,True,False,False,False,False
1530,430.0,260000,True,False,False,False,False
1934,567.0,185000,True,False,False,False,False
2353,484.0,260000,True,False,False,False,False
1586,435.0,181000,True,False,False,False,False
1411,544.0,82500,True,False,False,False,False
1602,529.0,215000,True,False,False,False,False
2050,529.0,154000,True,False,False,False,False
1671,484.0,200000,True,False,False,False,False
2673,441.0,249000,True,False,False,False,False
1472,588.0,187500,True,False,False,False,False
1707,479.0,184000,True,False,False,False,False
2524,542.0,278000,True,False,False,False,False
1601,478.0,157000,True,False,False,False,False
1370,479.0,152000,True,False,False,False,False
1868,484.0,197500,True,False,False,False,False
1884,581.0,240900,True,False,False,False,False
1935,552.0,263435,True,False,False,False,False
1874,588.0,220000,True,False,False,False,False
1811,565.0,235000,True,False,False,False,False
1621,478.0,213000,True,False,False,False,False
1116,528.0,167900,True,False,False,False,False
1193,506.0,158000,True,False,False,False,False
1350,478.0,165000,True,False,False,False,False
2119,583.0,158000,True,False,False,False,False
1792,0.0,136000,False,False,True,False,False
1002,902.0,148500,True,False,False,False,False
1026,440.0,156000,True,False,False,False,False
1180,477.0,128000,True,False,False,False,False
1050,336.0,143000,True,False,False,False,False
864,576.0,76500,True,False,False,False,False
864,660.0,120500,True,False,False,False,False
864,463.0,124500,True,False,False,False,False
864,576.0,97000,True,False,False,False,False
864,576.0,130000,True,False,False,False,False
987,264.0,111000,False,False,False,True,False
1365,440.0,125000,False,False,False,False,True
1302,280.0,112000,False,False,False,True,False
987,288.0,97000,False,False,False,True,False
987,264.0,118000,False,False,False,True,False
1302,264.0,119500,False,False,False,True,False
958,440.0,143750,False,False,False,False,True
1548,440.0,146000,False,False,False,False,True
1456,440.0,148500,False,False,False,True,False
1055,440.0,123000,False,False,False,True,False
1322,440.0,147000,False,False,False,False,True
1456,440.0,137900,False,False,False,True,False
1548,440.0,147000,False,False,False,False,True
1441,440.0,148500,False,False,False,True,False
1456,440.0,138000,False,False,False,False,True
836,345.0,128500,False,False,False,False,True
892,288.0,100000,True,False,False,False,False
1120,656.0,148800,True,False,False,False,False
1718,786.0,337500,True,False,False,False,False
2772,754.0,462000,True,False,False,False,False
3140,820.0,485000,True,False,False,False,False
2402,672.0,555000,True,False,False,False,False
1652,840.0,325000,True,False,False,False,False
1600,890.0,256300,True,False,False,False,False
2042,1390.0,253293,True,False,False,False,False
2690,864.0,398800,True,False,False,False,False
2184,836.0,335000,True,False,False,False,False
2020,896.0,404000,True,False,False,False,False
2020,900.0,402861,True,False,False,False,False
2296,842.0,451950,True,False,False,False,False
2674,762.0,610000,True,False,False,False,False
2822,1020.0,582933,True,False,False,False,False
1736,834.0,360000,True,False,False,False,False
1782,932.0,296000,True,False,False,False,False
2520,640.0,409900,True,False,False,False,False
1717,908.0,255500,True,False,False,False,False
1743,927.0,335000,True,False,False,False,False
1713,856.0,274900,True,False,False,False,False
1531,700.0,300000,True,False,False,False,False
1808,850.0,324000,True,False,False,False,False
2224,738.0,350000,True,False,False,False,False
1836,862.0,280000,True,False,False,False,False
1629,880.0,284000,True,False,False,False,False
1760,583.0,269500,True,False,False,False,False
1502,644.0,233170,True,False,False,False,False
2392,968.0,386250,True,False,False,False,False
2452,886.0,445000,True,False,False,False,False
2400,730.0,290000,True,False,False,False,False
1606,871.0,255900,True,False,False,False,False
1358,484.0,213000,False,False,False,False,True
1306,624.0,196000,False,False,False,True,False
1306,624.0,184500,False,False,False,True,False
1358,484.0,212500,False,False,False,False,True
1314,626.0,230000,False,False,False,True,False
2492,949.0,552000,True,False,False,False,False
2200,685.0,382500,True,False,False,False,False
1884,649.0,320000,False,False,False,False,True
1456,539.0,248500,False,False,False,False,True
1712,701.0,286500,True,False,False,False,False
1324,550.0,254000,False,False,False,False,True
1405,478.0,173000,False,False,False,False,True
1626,474.0,173000,False,False,False,True,False
1456,390.0,184000,True,False,False,False,False
1490,392.0,167800,True,False,False,False,False
1484,390.0,174000,True,False,False,False,False
1560,400.0,174000,True,False,False,False,False
1555,660.0,174000,False,False,False,False,True
1569,660.0,175900,False,False,False,False,True
1555,430.0,192500,False,False,False,False,True
1504,457.0,181000,False,False,False,False,True
1220,397.0,180000,False,False,False,False,True
1145,397.0,160200,False,False,False,False,True
1432,432.0,188500,True,False,False,False,False
2267,390.0,200000,True,False,False,False,False
1374,400.0,170000,True,False,False,False,False
1630,436.0,189500,True,False,False,False,False
1419,527.0,184100,True,False,False,False,False
1594,434.0,195500,True,False,False,False,False
1489,400.0,192000,True,False,False,False,False
1342,393.0,178000,True,False,False,False,False
1314,626.0,207500,False,False,False,True,False
2256,554.0,236000,True,False,False,False,False
2004,644.0,257500,True,False,False,False,False
2054,390.0,244000,True,False,False,False,False
1374,400.0,167000,True,False,False,False,False
1800,463.0,179000,True,False,False,False,False
1514,394.0,190000,True,False,False,False,False
1430,400.0,156000,True,False,False,False,False
2312,658.0,245000,True,False,False,False,False
1675,502.0,181000,True,False,False,False,False
2060,390.0,214000,True,False,False,False,False
1430,410.0,168000,True,False,False,False,False
2365,856.0,337000,True,False,False,False,False
2794,810.0,403000,True,False,False,False,False
2687,810.0,327000,True,False,False,False,False
2450,1069.0,340000,True,False,False,False,False
2612,676.0,336000,True,False,False,False,False
2344,889.0,265000,True,False,False,False,False
2063,815.0,315000,True,False,False,False,False
2646,656.0,260000,True,False,False,False,False
2061,647.0,260000,True,False,False,False,False
2232,623.0,263550,True,False,False,False,False
2448,711.0,402000,True,False,False,False,False
1850,467.0,248000,True,False,False,False,False
1468,898.0,244600,True,False,False,False,False
1696,972.0,275000,True,False,False,False,False
1658,726.0,257500,True,False,False,False,False
1578,840.0,287090,True,False,False,False,False
1702,844.0,275500,True,False,False,False,False
1432,492.0,245000,True,False,False,False,False
1971,689.0,253000,True,False,False,False,False
2490,795.0,468000,True,False,False,False,False
1852,644.0,252678,True,False,False,False,False
1590,676.0,210000,True,False,False,False,False
1218,676.0,208300,True,False,False,False,False
1436,529.0,225000,True,False,False,False,False
1314,552.0,229456,True,False,False,False,False
1402,625.0,229800,True,False,False,False,False
1530,984.0,250000,True,False,False,False,False
1766,478.0,370878,True,False,False,False,False
1448,692.0,238500,True,False,False,False,False
2007,812.0,310000,True,False,False,False,False
1795,782.0,270000,True,False,False,False,False
1953,1043.0,252000,True,False,False,False,False
1550,438.0,241000,True,False,False,False,False
1836,517.0,264500,True,False,False,False,False
1662,711.0,291000,True,False,False,False,False
2094,615.0,263000,True,False,False,False,False
1221,400.0,185000,True,False,False,False,False
1553,588.0,234500,True,False,False,False,False
1653,628.0,209000,True,False,False,False,False
1218,576.0,159000,True,False,False,False,False
1141,484.0,152000,True,False,False,False,False
1158,0.0,143500,True,False,False,False,False
1812,478.0,193000,True,False,False,False,False
1512,845.0,203000,True,False,False,False,False
1200,555.0,184900,True,False,False,False,False
1114,576.0,159000,True,False,False,False,False
1114,0.0,142000,True,False,False,False,False
1114,576.0,153000,True,False,False,False,False
1450,788.0,224243,True,False,False,False,False
2122,559.0,220000,True,False,False,False,False
1844,620.0,257000,True,False,False,False,False
1434,527.0,189000,True,False,False,False,False
1730,528.0,171500,True,False,False,False,False
1217,288.0,120000,False,False,False,False,True
1332,542.0,145000,False,False,False,False,True
1540,495.0,184000,True,False,False,False,False
1400,465.0,162000,True,False,False,False,False
1882,612.0,160000,False,False,True,False,False
841,294.0,82000,True,False,False,False,False
784,360.0,76000,True,False,False,False,False
980,400.0,110000,True,False,False,False,False
980,484.0,135000,True,False,False,False,False
864,732.0,141000,True,False,False,False,False
864,440.0,122000,True,False,False,False,False
1020,288.0,124100,True,False,False,False,False
912,300.0,129000,True,False,False,False,False
1144,264.0,131400,True,False,False,False,False
864,360.0,62383,True,False,False,False,False
912,252.0,123000,True,False,False,False,False
2014,864.0,275000,True,False,False,False,False
1755,524.0,235000,True,False,False,False,False
3005,704.0,280750,False,False,False,True,False
1224,528.0,164500,False,False,False,False,True
1224,528.0,173733,False,False,False,False,True
1726,561.0,222000,False,False,False,False,True
1256,641.0,195000,False,False,False,False,True
1471,440.0,172500,False,False,False,False,True
1512,440.0,180000,False,False,False,False,True
1452,506.0,156000,False,False,False,False,True
1739,480.0,172500,False,False,False,True,False
1694,642.0,318750,True,False,False,False,False
1226,484.0,211500,False,False,False,False,True
1740,540.0,241600,True,False,False,False,False
2499,527.0,180500,True,False,False,False,False
1620,490.0,150000,True,False,False,False,False
1556,441.0,154000,True,False,False,False,False
1442,615.0,185000,True,False,False,False,False
1489,462.0,185750,True,False,False,False,False
2090,484.0,200000,True,False,False,False,False
2067,784.0,206000,True,False,False,False,False
1395,497.0,162000,True,False,False,False,False
2640,515.0,256900,True,False,False,False,False
1724,480.0,197900,True,False,False,False,False
1336,502.0,163000,True,False,False,False,False
1216,336.0,113000,True,False,False,False,False
2288,520.0,230000,True,False,False,False,False
1334,630.0,167900,True,False,False,False,False
1680,583.0,213250,True,False,False,False,False
1665,528.0,227000,True,False,False,False,False
864,312.0,130000,True,False,False,False,False
1568,440.0,143000,True,False,False,False,False
925,429.0,117500,True,False,False,False,False
2061,498.0,168500,True,False,False,False,False
1320,495.0,172500,True,False,False,False,False
1342,457.0,161500,True,False,False,False,False
894,396.0,141500,True,False,False,False,False
864,308.0,118000,True,False,False,False,False
864,300.0,127500,True,False,False,False,False
1362,768.0,140000,True,False,False,False,False
1728,576.0,177625,True,False,False,False,False
1776,888.0,110000,False,False,True,False,False
1516,472.0,167000,True,False,False,False,False
1313,610.0,153000,True,False,False,False,False
1292,520.0,145100,True,False,False,False,False
1154,480.0,154000,True,False,False,False,False
2140,549.0,177500,True,False,False,False,False
1445,645.0,158000,True,False,False,False,False
1041,270.0,124500,True,False,False,False,False
1576,368.0,174500,True,False,False,False,False
960,330.0,122000,True,False,False,False,False
708,0.0,82500,True,False,False,False,False
1203,352.0,110000,True,False,False,False,False
1505,505.0,149500,True,False,False,False,False
1691,550.0,175000,True,False,False,False,False
1644,418.0,167000,True,False,False,False,False
1050,338.0,128900,True,False,False,False,False
1668,271.0,140000,True,False,False,False,False
1113,264.0,147000,True,False,False,False,False
1584,792.0,124000,False,False,True,False,False
1453,530.0,187500,True,False,False,False,False
1394,514.0,159000,True,False,False,False,False
1567,542.0,256000,True,False,False,False,False
1986,486.0,205000,True,False,False,False,False
2142,509.0,193500,True,False,False,False,False
1392,576.0,110000,True,False,False,False,False
1738,368.0,104900,True,False,False,False,False
1144,286.0,150000,True,False,False,False,False
1478,442.0,156500,True,False,False,False,False
1329,441.0,176000,True,False,False,False,False
988,297.0,149500,True,False,False,False,False
1632,338.0,139000,True,False,False,False,False
1215,297.0,155000,True,False,False,False,False
1202,304.0,120000,True,False,False,False,False
1382,350.0,153000,True,False,False,False,False
1200,294.0,144000,True,False,False,False,False
1382,884.0,176000,True,False,False,False,False
1297,498.0,153000,True,False,False,False,False
1866,495.0,135000,False,False,True,False,False
1062,297.0,131000,True,False,False,False,False
1319,270.0,123000,True,False,False,False,False
1112,480.0,126000,True,False,False,False,False
1005,672.0,115000,True,False,False,False,False
1363,288.0,164900,True,False,False,False,False
793,240.0,113000,True,False,False,False,False
1031,230.0,145500,True,False,False,False,False
1210,616.0,102900,True,False,False,False,False
1699,420.0,95000,False,True,False,False,False
1527,410.0,152500,True,False,False,False,False
1200,246.0,129900,True,False,False,False,False
972,240.0,132000,True,False,False,False,False
792,366.0,99900,True,False,False,False,False
1656,180.0,135000,True,False,False,False,False
1352,720.0,149000,True,False,False,False,False
1039,281.0,114000,True,False,False,False,False
792,240.0,109500,True,False,False,False,False
1078,264.0,125000,True,False,False,False,False
2377,528.0,142900,True,False,False,False,False
1690,624.0,156500,True,False,False,False,False
599,0.0,59000,True,False,False,False,False
1374,338.0,105000,True,False,False,False,False
846,576.0,106000,True,False,False,False,False
725,320.0,78500,True,False,False,False,False
2544,907.0,190000,False,False,True,False,False
1380,364.0,154000,True,False,False,False,False
1040,480.0,163000,True,False,False,False,False
2634,968.0,200000,False,False,True,False,False
951,480.0,143500,True,False,False,False,False
1105,308.0,135000,True,False,False,False,False
1306,756.0,153000,True,False,False,False,False
1478,498.0,157500,True,False,False,False,False
1142,384.0,113500,True,False,False,False,False
1268,288.0,133000,True,False,False,False,False
1040,400.0,92900,False,False,True,False,False
1133,900.0,128500,True,False,False,False,False
1040,420.0,90000,False,False,True,False,False
1904,240.0,138000,True,False,False,False,False
1041,294.0,128000,True,False,False,False,False
1339,294.0,139000,True,False,False,False,False
732,240.0,118900,True,False,False,False,False
1183,288.0,138000,True,False,False,False,False
1148,672.0,132500,True,False,False,False,False
1461,384.0,133500,True,False,False,False,False
1495,576.0,135000,True,False,False,False,False
1806,483.0,144750,True,False,False,False,False
941,564.0,145000,False,False,True,False,False
1045,264.0,127000,True,False,False,False,False
894,308.0,109500,True,False,False,False,False
1224,210.0,115000,True,False,False,False,False
1230,440.0,110000,True,False,False,False,False
1378,162.0,128900,True,False,False,False,False
1944,324.0,103500,False,False,True,False,False
1131,200.0,66500,True,False,False,False,False
1306,472.0,130000,True,False,False,False,False
1464,0.0,129000,True,False,False,False,False
1558,400.0,150000,True,False,False,False,False
