Lot Area,Gr Liv Area,Garage Area,SalePrice,1Fam,2fmCon,Duplex,Twnhs,TwnhsE
8400,1484,606.0,213000,True,False,False,False,False
8773,1414,494.0,185500,True,False,False,False,False
8777,640,240.0,84900,True,False,False,False,False
8842,992,319.0,155891,True,False,False,False,False
9825,1664,0.0,100000,False,False,True,False,False
10044,1196,336.0,144000,True,False,False,False,False
11792,1120,480.0,64000,True,False,False,False,False
6305,1096,352.0,125200,True,False,False,False,False
7819,1117,672.0,107000,True,False,False,False,False
6410,960,0.0,90000,True,False,False,False,False
8546,1121,440.0,140000,True,False,False,False,False
8741,1487,220.0,113000,True,False,False,False,False
12180,924,280.0,80000,False,True,False,False,False
8562,1526,364.0,144500,True,False,False,False,False
4853,1296,260.0,104000,True,False,False,False,False
6858,1647,216.0,128000,True,False,False,False,False
8212,864,200.0,58500,True,False,False,False,False
5000,1691,308.0,127000,True,False,False,False,False
7890,856,399.0,126000,True,False,False,False,False
7200,2650,0.0,160000,False,False,True,False,False
9839,1666,0.0,100000,True,False,False,False,False
9638,2447,336.0,169000,True,False,False,False,False
10452,2133,312.0,257500,True,False,False,False,False
15600,2177,484.0,215000,False,False,True,False,False
9042,2340,252.0,266500,True,False,False,False,False
17500,1902,567.0,335000,True,False,False,False,False
19645,1652,473.0,203135,True,False,False,False,False
3907,1034,598.0,185000,False,False,False,False,True
3907,1191,531.0,162500,False,False,False,False,True
15602,1801,484.0,289000,True,False,False,False,False
5436,1154,240.0,125500,True,False,False,False,False
8154,540,200.0,82000,True,False,False,False,False
9140,1107,625.0,110000,True,False,False,False,False
7500,1128,528.0,68400,True,False,False,False,False
8712,1178,384.0,102776,True,False,False,False,False
8712,1044,504.0,55993,True,False,False,False,False
8712,952,330.0,50138,True,False,False,False,False
3811,1646,525.0,246000,False,False,False,False,True
11050,1916,741.0,254900,True,False,False,False,False
9620,1285,473.0,190000,True,False,False,False,False
9196,1560,573.0,201000,True,False,False,False,False
12328,1034,888.0,169900,True,False,False,False,False
12760,2048,776.0,170000,False,False,True,False,False
57200,1687,572.0,160000,True,False,False,False,False
11896,1346,660.0,220000,True,False,False,False,False
9803,1214,520.0,179781,True,False,False,False,False
9802,1444,400.0,174000,True,False,False,False,False
12003,1968,680.0,269500,True,False,False,False,False
11316,1894,510.0,214900,True,False,False,False,False
14191,1908,431.0,202900,True,False,False,False,False
13214,2018,746.0,378500,True,False,False,False,False
15300,1264,528.0,169000,True,False,False,False,False
10114,1430,624.0,173500,True,False,False,False,False
9400,1824,0.0,139000,False,False,True,False,False
11875,1344,686.0,166500,True,False,False,False,False
1974,1092,286.0,83500,False,False,False,False,True
2394,945,253.0,119500,False,False,False,True,False
2592,1112,336.0,85000,False,False,False,False,True
1476,1092,0.0,76000,False,False,False,True,False
1491,630,0.0,75500,False,False,False,False,True
1900,1092,0.0,88250,False,False,False,False,True
1890,1092,286.0,85500,False,False,False,False,True
6953,874,352.0,130000,True,False,False,False,False
26142,1188,312.0,157900,True,False,False,False,False
12887,833,495.0,149900,True,False,False,False,False
7700,2432,616.0,159000,False,False,True,False,False
10475,1274,576.0,136000,True,False,False,False,False
10544,1479,275.0,161000,True,False,False,False,False
9892,1803,482.0,285000,True,False,False,False,False
12961,1797,616.0,231000,True,False,False,False,False
13008,882,502.0,124500,True,False,False,False,False
10200,1434,528.0,157000,True,False,False,False,False
13860,2704,538.0,345000,True,False,False,False,False
10179,1608,470.0,189500,True,False,False,False,False
11792,2283,632.0,270000,True,False,False,False,False
8400,1628,390.0,189000,True,False,False,False,False
14892,1746,758.0,377500,True,False,False,False,False
8530,1474,400.0,168500,True,False,False,False,False
7296,2522,564.0,375000,False,False,False,False,True
5664,1659,499.0,278000,False,False,False,False,True
7380,1478,495.0,240000,True,False,False,False,False
8013,1734,528.0,239500,False,False,False,False,True
8923,1382,396.0,177500,True,False,False,False,False
10141,1718,427.0,185000,True,False,False,False,False
7500,1636,440.0,191000,True,False,False,False,False
7837,1571,380.0,178000,True,False,False,False,False
9765,1470,420.0,185000,True,False,False,False,False
8803,1516,409.0,181316,True,False,False,False,False
7250,1190,430.0,166000,True,False,False,False,False
9636,1593,389.0,178000,True,False,False,False,False
8125,1481,343.0,174000,True,False,False,False,False
9248,1167,400.0,173000,True,False,False,False,False
10762,1983,490.0,225000,True,False,False,False,False
11851,1442,500.0,180500,True,False,False,False,False
5814,1360,565.0,187500,False,False,False,False,True
17423,2234,1166.0,501837,True,False,False,False,False
11844,2046,834.0,372500,True,False,False,False,False
16158,1530,430.0,260000,True,False,False,False,False
11900,1934,567.0,185000,True,False,False,False,False
13005,2353,484.0,260000,True,False,False,False,False
17043,1586,435.0,181000,True,False,False,False,False
11900,1411,544.0,82500,True,False,False,False,False
16635,1602,529.0,215000,True,False,False,False,False
13250,2050,529.0,154000,True,False,False,False,False
10928,1671,484.0,200000,True,False,False,False,False
12388,2673,441.0,249000,True,False,False,False,False
14115,1472,588.0,187500,True,False,False,False,False
11088,1707,479.0,184000,True,False,False,False,False
9600,2524,542.0,278000,True,False,False,False,False
11880,1601,478.0,157000,True,False,False,False,False
10400,1370,479.0,152000,True,False,False,False,False
10304,1868,484.0,197500,True,False,False,False,False
7000,1884,581.0,240900,True,False,False,False,False
8004,1935,552.0,263435,True,False,False,False,False
7500,1874,588.0,220000,True,False,False,False,False
8470,1811,565.0,235000,True,False,False,False,False
9373,1621,478.0,213000,True,False,False,False,False
10140,1116,528.0,167900,True,False,False,False,False
11050,1193,506.0,158000,True,False,False,False,False
10140,1350,478.0,165000,True,False,False,False,False
10448,2119,583.0,158000,True,False,False,False,False
9000,1792,0.0,136000,False,False,True,False,False
8750,1002,902.0,148500,True,False,False,False,False
7930,1026,440.0,156000,True,False,False,False,False
7830,1180,477.0,128000,True,False,False,False,False
8510,1050,336.0,143000,True,False,False,False,False
7038,864,576.0,76500,True,False,False,False,False
6960,864,660.0,120500,True,False,False,False,False
8120,864,463.0,124500,True,False,False,False,False
10500,864,576.0,97000,True,False,False,False,False
9000,864,576.0,130000,True,False,False,False,False
1680,987,264.0,111000,False,False,False,True,False
2368,1365,440.0,125000,False,False,False,False,True
1680,1302,280.0,112000,False,False,False,True,False
1680,987,288.0,97000,False,False,False,True,False
1680,987,264.0,118000,False,False,False,True,False
1680,1302,264.0,119500,False,False,False,True,False
4928,958,440.0,143750,False,False,False,False,True
2308,1548,440.0,146000,False,False,False,False,True
2280,1456,440.0,148500,False,False,False,True,False
2280,1055,440.0,123000,False,False,False,True,False
2308,1322,440.0,147000,False,False,False,False,True
2349,1456,440.0,137900,False,False,False,True,False
2364,1548,440.0,147000,False,False,False,False,True
2289,1441,440.0,148500,False,False,False,True,False
2364,1456,440.0,138000,False,False,False,False,True
2104,836,345.0,128500,False,False,False,False,True
7150,892,288.0,100000,True,False,False,False,False
10710,1120,656.0,148800,True,False,False,False,False
12456,1718,786.0,337500,True,False,False,False,False
14257,2772,754.0,462000,True,False,False,False,False
13518,3140,820.0,485000,True,False,False,False,False
15431,2402,672.0,555000,True,False,False,False,False
13173,1652,840.0,325000,True,False,False,False,False
14230,1600,890.0,256300,True,False,False,False,False
12704,2042,1390.0,253293,True,False,False,False,False
12350,2690,864.0,398800,True,False,False,False,False
11308,2184,836.0,335000,True,False,False,False,False
12350,2020,896.0,404000,True,False,False,False,False
12220,2020,900.0,402861,True,False,False,False,False
13478,2296,842.0,451950,True,False,False,False,False
13693,2674,762.0,610000,True,False,False,False,False
13891,2822,1020.0,582933,True,False,False,False,False
11578,1736,834.0,360000,True,False,False,False,False
16870,1782,932.0,296000,True,False,False,False,False
23303,2520,640.0,409900,True,False,False,False,False
11146,1717,908.0,255500,True,False,False,False,False
10367,1743,927.0,335000,True,False,False,False,False
9591,1713,856.0,274900,True,False,False,False,False
10872,1531,700.0,300000,True,False,False,False,False
13514,1808,850.0,324000,True,False,False,False,False
8834,2224,738.0,350000,True,False,False,False,False
11362,1836,862.0,280000,True,False,False,False,False
10655,1629,880.0,284000,True,False,False,False,False
12878,1760,583.0,269500,True,False,False,False,False
9541,1502,644.0,233170,True,False,False,False,False
13472,2392,968.0,386250,True,False,False,False,False
15274,2452,886.0,445000,True,False,False,False,False
13262,2400,730.0,290000,True,False,False,False,False
9658,1606,871.0,255900,True,False,False,False,False
6904,1358,484.0,213000,False,False,False,False,True
5381,1306,624.0,196000,False,False,False,True,False
5122,1306,624.0,184500,False,False,False,True,False
10307,1358,484.0,212500,False,False,False,False,True
5001,1314,626.0,230000,False,False,False,True,False
14836,2492,949.0,552000,True,False,False,False,False
15262,2200,685.0,382500,True,False,False,False,False
7390,1884,649.0,320000,False,False,False,False,True
6472,1456,539.0,248500,False,False,False,False,True
16770,1712,701.0,286500,True,False,False,False,False
6240,1324,550.0,254000,False,False,False,False,True
3480,1405,478.0,173000,False,False,False,False,True
2268,1626,474.0,173000,False,False,False,True,False
10928,1456,390.0,184000,True,False,False,False,False
8918,1490,392.0,167800,True,False,False,False,False
12589,1484,390.0,174000,True,False,False,False,False
11911,1560,400.0,174000,True,False,False,False,False
3684,1555,660.0,174000,False,False,False,False,True
3635,1569,660.0,175900,False,False,False,False,True
3182,1555,430.0,192500,False,False,False,False,True
3182,1504,457.0,181000,False,False,False,False,True
3182,1220,397.0,180000,False,False,False,False,True
3182,1145,397.0,160200,False,False,False,False,True
7795,1432,432.0,188500,True,False,False,False,False
8068,2267,390.0,200000,True,False,False,False,False
9434,1374,400.0,170000,True,False,False,False,False
7984,1630,436.0,189500,True,False,False,False,False
7750,1419,527.0,184100,True,False,False,False,False
10125,1594,434.0,195500,True,False,False,False,False
8965,1489,400.0,192000,True,False,False,False,False
8174,1342,393.0,178000,True,False,False,False,False
5063,1314,626.0,207500,False,False,False,True,False
8795,2256,554.0,236000,True,False,False,False,False
12891,2004,644.0,257500,True,False,False,False,False
12224,2054,390.0,244000,True,False,False,False,False
9734,1374,400.0,167000,True,False,False,False,False
8123,1800,463.0,179000,True,False,False,False,False
8433,1514,394.0,190000,True,False,False,False,False
7750,1430,400.0,156000,True,False,False,False,False
15896,2312,658.0,245000,True,False,False,False,False
24682,1675,502.0,181000,True,False,False,False,False
8755,2060,390.0,214000,True,False,False,False,False
7848,1430,410.0,168000,True,False,False,False,False
9430,2365,856.0,337000,True,False,False,False,False
15138,2794,810.0,403000,True,False,False,False,False
12720,2687,810.0,327000,True,False,False,False,False
16545,2450,1069.0,340000,True,False,False,False,False
12203,2612,676.0,336000,True,False,False,False,False
10208,2344,889.0,265000,True,False,False,False,False
10750,2063,815.0,315000,True,False,False,False,False
9900,2646,656.0,260000,True,False,False,False,False
9085,2061,647.0,260000,True,False,False,False,False
11692,2232,623.0,263550,True,False,False,False,False
46589,2448,711.0,402000,True,False,False,False,False
29959,1850,467.0,248000,True,False,False,False,False
9612,1468,898.0,244600,True,False,False,False,False
11194,1696,972.0,275000,True,False,False,False,False
10206,1658,726.0,257500,True,False,False,False,False
9262,1578,840.0,287090,True,False,False,False,False
10130,1702,844.0,275500,True,False,False,False,False
9139,1432,492.0,245000,True,False,False,False,False
9675,1971,689.0,253000,True,False,False,False,False
11128,2490,795.0,468000,True,False,False,False,False
8640,1852,644.0,252678,True,False,False,False,False
9000,1590,676.0,210000,True,False,False,False,False
7862,1218,676.0,208300,True,False,False,False,False
7993,1436,529.0,225000,True,False,False,False,False
8640,1314,552.0,229456,True,False,False,False,False
8640,1402,625.0,229800,True,False,False,False,False
12606,1530,984.0,250000,True,False,False,False,False
9187,1766,478.0,370878,True,False,False,False,False
7500,1448,692.0,238500,True,False,False,False,False
11003,2007,812.0,310000,True,False,False,False,False
10603,1795,782.0,270000,True,False,False,False,False
10574,1953,1043.0,252000,True,False,False,False,False
8125,1550,438.0,241000,True,False,False,False,False
8125,1836,517.0,264500,True,False,False,False,False
10625,1662,711.0,291000,True,False,False,False,False
9375,2094,615.0,263000,True,False,False,False,False
7500,1221,400.0,185000,True,False,False,False,False
8736,1553,588.0,234500,True,False,False,False,False
8127,1653,628.0,209000,True,False,False,False,False
9605,1218,576.0,159000,True,False,False,False,False
7500,1141,484.0,152000,True,False,False,False,False
7500,1158,0.0,143500,True,False,False,False,False
10628,1812,478.0,193000,True,False,False,False,False
10141,1512,845.0,203000,True,False,False,False,False
10083,1200,555.0,184900,True,False,False,False,False
13072,1114,576.0,159000,True,False,False,False,False
13072,1114,0.0,142000,True,False,False,False,False
12450,1114,576.0,153000,True,False,False,False,False
7328,1450,788.0,224243,True,False,False,False,False
11492,2122,559.0,220000,True,False,False,False,False
10994,1844,620.0,257000,True,False,False,False,False
8529,1434,527.0,189000,True,False,False,False,False
7703,1730,528.0,171500,True,False,False,False,False
10762,1217,288.0,120000,False,False,False,False,True
7175,1332,542.0,145000,False,False,False,False,True
9109,1540,495.0,184000,True,False,False,False,False
10274,1400,465.0,162000,True,False,False,False,False
8250,1882,612.0,160000,False,False,True,False,False
8400,841,294.0,82000,True,False,False,False,False
9000,784,360.0,76000,True,False,False,False,False
9750,980,400.0,110000,True,False,False,False,False
7064,980,484.0,135000,True,False,False,False,False
8499,864,732.0,141000,True,False,False,False,False
9079,864,440.0,122000,True,False,False,False,False
9316,1020,288.0,124100,True,False,False,False,False
7791,912,300.0,129000,True,False,False,False,False
10000,1144,264.0,131400,True,False,False,False,False
8281,864,360.0,62383,True,False,False,False,False
7150,912,252.0,123000,True,False,False,False,False
15676,2014,864.0,275000,True,False,False,False,False
11949,1755,524.0,235000,True,False,False,False,False
2880,3005,704.0,280750,False,False,False,True,False
3951,1224,528.0,164500,False,False,False,False,True
3000,1224,528.0,173733,False,False,False,False,True
3830,1726,561.0,222000,False,False,False,False,True
4217,1256,641.0,195000,False,False,False,False,True
3230,1471,440.0,172500,False,False,False,False,True
2998,1512,440.0,180000,False,False,False,False,True
3768,1452,506.0,156000,False,False,False,False,True
2645,1739,480.0,172500,False,False,False,True,False
14694,1694,642.0,318750,True,False,False,False,False
3782,1226,484.0,211500,False,False,False,False,True
15417,1740,540.0,241600,True,False,False,False,False
9600,2499,527.0,180500,True,False,False,False,False
9991,1620,490.0,150000,True,False,False,False,False
11700,1556,441.0,154000,True,False,False,False,False
11717,1442,615.0,185000,True,False,False,False,False
9156,1489,462.0,185750,True,False,False,False,False
10382,2090,484.0,200000,True,False,False,False,False
12732,2067,784.0,206000,True,False,False,False,False
12936,1395,497.0,162000,True,False,False,False,False
10400,2640,515.0,256900,True,False,False,False,False
17871,1724,480.0,197900,True,False,False,False,False
9600,1336,502.0,163000,True,False,False,False,False
9000,1216,336.0,113000,True,False,False,False,False
13774,2288,520.0,230000,True,False,False,False,False
9650,1334,630.0,167900,True,False,False,False,False
10140,1680,583.0,213250,True,False,False,False,False
8400,1665,528.0,227000,True,False,False,False,False
7130,864,312.0,130000,True,False,False,False,False
9600,1568,440.0,143000,True,False,False,False,False
9100,925,429.0,117500,True,False,False,False,False
9600,2061,498.0,168500,True,False,False,False,False
16500,1320,495.0,172500,True,False,False,False,False
9790,1342,457.0,161500,True,False,False,False,False
7436,894,396.0,141500,True,False,False,False,False
8125,864,308.0,118000,True,False,False,False,False
9100,864,300.0,127500,True,False,False,False,False
9450,1362,768.0,140000,True,False,False,False,False
13495,1728,576.0,177625,True,False,False,False,False
11475,1776,888.0,110000,False,False,True,False,False
10004,1516,472.0,167000,True,False,False,False,False
